brand-nomen	mah_2025
* ABECE	evolan pharma
* Apofri	evolan pharma
* Evolan	evolan pharma
* Punkt	evolan pharma
* Actavis	teva sweden
* Teva	teva sweden
* Bluefish	bluefish pharmaceuticals
* Sandoz	sandoz
* Krka	krka sverige
* Orion	orion pharma
* SUN	sun pharmaceutical
* Viatris	viatris
* Kalceks	kalceks
* Hexal	sandoz
* Jubilant	medical valley invest
* Stada	stada nordic
* Cooper	cooper consumer health
* Abboxia	abboxia
* Aguettant	laboratorie aguettant
* Accord	accord healthcare
* EQL Pharma	eql pharma
* STADA	stada nordic
* Aurobindo	orion pharma
* Abacus Medicine	abacus medicine
* Medac	medac
* Sanofi	sanofi
* Strides	strides nordic
	
